,Day,Date,workoutActivityType,duration,durationUnit,activeEnergyBurned,basalEnergyBurned
0,Thursday,2021-10-28,Walking,13.56728126605352,min,57.4218,19.4816
1,Saturday,2021-11-06,Walking,58.4355478366216,min,179.799,85.0515
2,Thursday,2021-11-11,Walking,19.53509810169538,min,61.958,27.9599
3,Saturday,2021-11-13,Walking,41.13636545141538,min,137.468,59.5096
4,Monday,2021-11-15,Walking,28.1664487183094,min,72.9412,40.6188
5,Thursday,2021-11-18,Walking,20.05935451587041,min,61.7494,28.3872
6,Monday,2021-11-22,Walking,65.05276442567508,min,278.44,94.3169
7,Tuesday,2021-11-23,Walking,52.73635838230451,min,209.606,75.9874
8,Tuesday,2021-12-14,Walking,20.98935979008674,min,71.7362,29.9449
9,Tuesday,2022-01-04,Walking,52.79497638344765,min,244.199,76.4923
10,Wednesday,2022-01-12,Cycling,60.05418689846992,min,322.579,87.482
11,Thursday,2022-01-13,Cycling,62.13054171601932,min,305.206,90.458
12,Tuesday,2022-01-18,Walking,19.97546518643697,min,81.8844,28.8651
13,Tuesday,2022-01-25,Cycling,85.54472301602364,min,651.99,124.62
14,Wednesday,2022-01-26,CoreTraining,56.02157389918963,min,223.166,81.5696
15,Thursday,2022-01-27,Elliptical,10.98143900036812,min,91.054,15.748
16,Thursday,2022-01-27,FunctionalStrengthTraining,69.6467890838782,min,351.38,101.421
17,Friday,2022-01-28,Walking,16.80652886629105,min,129.272,24.3293
18,Friday,2022-01-28,FunctionalStrengthTraining,44.71450663407644,min,283.212,65.0973
19,Monday,2022-01-31,Walking,17.51604753335317,min,117.117,25.4766
20,Monday,2022-01-31,FunctionalStrengthTraining,66.94138666788737,min,287.572,97.4606
21,Tuesday,2022-02-01,Walking,16.89248483379682,min,130.644,24.5142
22,Tuesday,2022-02-01,FunctionalStrengthTraining,67.46505546569824,min,370.924,98.2315
23,Saturday,2022-02-05,Walking,14.41119073430697,min,117.667,20.9062
24,Saturday,2022-02-05,FunctionalStrengthTraining,35.83486306667328,min,225.912,52.08
25,Monday,2022-02-07,Walking,13.50795651674271,min,105.726,19.621
